"Firm_plan","Bun_Code","PU_code","Ten_San_Pham","SL_Sheet","SL_Bun_Can_Tach","SL_Bun_Can_Do"
"RPRO-260410-0202","BDB-000107","PVN-003482","OrthoLite Eco LT-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 1.47M 4mm","105","3","0"
"FPRO-260318-0022","BDB-000113","PVN-003414","OrthoLite Regular-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 12mm","2,500","218","310"
"RPRO-260410-0199","BDB-000113","PVN-003601","OrthoLite Regular-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 20mm","6","2",""
"FPRO-260328-0001","BDB-000113","PVN-002465","OrthoLite Regular-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 5mm","2,500","90",""
"RPRO-260413-0273","BDB-000149","PVN-002827","OrthoLite Regular-Hybrid-Nike SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 5mm","28","1","1"
"RPRO-260414-0217","BDB-000149","PVN-002827","OrthoLite Regular-Hybrid-Nike SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 5mm","56","2","2"
"RPRO-260413-0277","BDB-000107","PVN-003482","OrthoLite Eco LT-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 1.47M 4mm","595","17","17"
"RPRO-260414-0216","BDB-000123","PVN-002884","OrthoLite Ultra-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.085D 25+/-4 Asker C 1.1M 2M 10mm","91","7","7"
"FPRO-260318-0012","BDB-000113","PVN-002465","OrthoLite Regular-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 5mm","2,500","90","363"
"FPRO-260317-0001","BDB-000113","PVN-003414","OrthoLite Regular-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 12mm","2,100","183",""
"FPRO-260317-0007","BDB-000113","PVN-002465","OrthoLite Regular-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 5mm","2,500","90",""
"RPRO-260413-0280","BDB-000097","PVN-003671","OrthoLite Eco LT-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 13mm","50","5","5"
"RPRO-260414-0213","BDB-000180","PVN-003236","OrthoLite Eco LT-Hybrid-Converse SEEDPEARL/12-0703TPX Hybrid 0.13D 25+/-4 Asker C 1.1M 2M 5mm","1,826","66","66"
"RPRO-260409-0282","BDB-000057","PVN-000925","OrthoLite Ultra YELLOW/13-0858TPX Flat Sheet 0.085D 25+/-4 Asker C 1.1M 2M 5mm","28","1","1"
"RPRO-260406-1113","BDB-000317","PVN-004293","OrthoLite Regular NEUTRAL GRAY/17-4402TPX Flat Sheet 0.13D 15+/-4 Asker C 1.1M 2M 22mm","30","6","8"
"RPRO-260409-0291","BDB-000317","PVN-004076","OrthoLite Regular NEUTRAL GRAY/17-4402TPX Flat Sheet 0.13D 15+/-4 Asker C 1.1M 2M 24mm","10","2",""
"RPRO-260319-0545","BDB-000162","PVN-001566","OrthoLite Ultra-Nike SEEDPEARL/12-0703TPX Flat Sheet 0.085D 25+/-4 Asker C 1.1M 2M 4mm","2,620","75","191"
"FPRO-260324-0006","BDB-000162","PVN-001566","OrthoLite Ultra-Nike SEEDPEARL/12-0703TPX 0.085D 25+/-4 Asker C 1.1M 2M 4mm","2000","58",""
"FPRO-260324-0001","BDB-000162","PVN-001566","OrthoLite Ultra-Nike SEEDPEARL/12-0703TPX 0.085D 25+/-4 Asker C 1.1M 2M 4mm","2000","58",""
"RPRO-260415-0095","BDB-000300","PVN-004267","[116-12954] Ultra Nike 25+/-4 Asker C 0.085D Seedpearl 12-0703 Tpx 1.10M X 1.70M 47mm","1","1","1"
"FPRO-260212-0055","BDB-000161","PVN-001560","OrthoLite Ultra-Nike FOSSIL/17-0909TPX 0.085D 25+/-4 Asker C 1.1M 2M 4mm","1,000","29","29"
"FPRO-260330-0005","BDB-000008","PVN-000505","OrthoLite Regular LIME GREEN/14-0452TPX Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 12mm","300","27","29"
"RPRO-260409-0287","BDB-000008","PVN-000505","OrthoLite Regular LIME GREEN/14-0452TPX Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 12mm","22","2",""
"FPRO-260130-0013","BDB-000011","PVN-000258","OrthoLite Regular AIR BLUE/16-4134TPX Flat Sheet 0.13D 35+/-4 Asker C 1.1M 2M 2.5mm","1,000","18","18"
"RPRO-260406-1110","BDB-000010","PVN-003437","OrthoLite Regular AIR BLUE/16-4134TPX Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 10.5mm","48","4","4"
"FPRO-260324-0039","BDB-000129","PVN-001550","OrthoLite Regular-Nike AIR BLUE/16-4134TPX 0.11D 25+/-4 Asker C 1.1M 1.7M 2mm","2500","36","36"
"FPRO-260324-0017","BDB-000125","PVN-002413","OrthoLite Regular-Nike AIR BLUE/16-4134TPX 0.11D 25+/-4 Asker C 1.1M 2M 4.2mm","2500","76","101"
"FPRO-260309-0001","BDB-000125","PVN-002413","OrthoLite Regular-Nike AIR BLUE/16-4134TPX 0.11D 25+/-4 Asker C 1.1M 2M 4.2mm","1,000","31","107-6"
